Order_ID,Customer_ID,Customer_Name,Age,Gender,City,Customer_Since,Category,Product,Quantity,Unit_Price,Discount,Total_Amount,Payment_Method,Order_Date,Delivery_Date,Delivery_Days,Order_Status,Rating,Return_Reason,Unnamed_Col
ORD01100,CUST0387,Divya Nair,54,Male,Nagpur,2022-07-13,Toys,RC Car,2,1571.26,0.06,2953.97,Cash on Delivery,2022-12-26,2023-01-04,9,Returned,,,
ORD00288,CUST0103,Neha Mishra,56,,,2022-08-10,Home & Kitchen,Bedsheet,3,1101.77,0.3,2313.72,,2022-10-06,2022-10-11,5,Cancelled,,,
ORD01114,CUST0393,Deepak Verma,21,Female,Nagpur,2022-05-16,Books,Cook Book,1,544.72,0.24,413.99,UPI,2023-04-02,2023-04-11,9,Delivered,,,
ORD00772,CUST0269,Sneha Hegde,61,Male,Nagpur,2022-09-29,Fashion,Jeans,4,1096.29,0.31,3025.76,UPI,2022-12-12,2022-12-14,2,Delivered,4.0,,
ORD00884,CUST0313,Ravi Dubey,39,Male,Surat,2022-09-16,Beauty,Sunscreen,3,303.06,0.11,809.17,Wallet,2022-11-08,2022-11-23,15,Cancelled,,,
ORD00108,CUST0036,Sneha Mehta,55,Male,Jaipur,2022-01-12,Toys,Board Game,4,1199.42,0.12,4221.96,Wallet,15/06/2022,2022-06-27,12,Delivered,2.0,,
ORD00543,CUST0190,Seema Pandey,49,Female,Jaipur,2022-11-18,Sports,Football,3,532.74,0.13,1390.45,  Credit Card  ,2022-12-29,2023-01-07,9,Returned,,Wrong Item Delivered,
ORD00224,CUST0078,Tarun Rao,32,Female,Jaipur,2022-06-10,Home & Kitchen,Water Bottle,1,361.56,0.05,343.48,Cash on Delivery,2023-07-16,2023-07-19,3,Delivered,3.0,,
ORD00458,CUST0159,Manoj Patel,21,Female,Pune,2022-07-15,Grocery,Tea,3,278.98,0.35,544.01,UPI,2024-01-23,2024-02-06,14,Delivered,1.0,,
ORD00391,CUST0140,Deepak Rao,35,Male,Mumbai,2022-02-20,Sports,Yoga Mat,1,849.5,0.0,849.5,Debit Card,2022-08-16,2022-08-27,11,Delivered,3.0,,
ORD00520,CUST0182,Ashish Agarwal,23,female,Mumbai,2022-04-04,Beauty,Sunscreen,3,377.01,0.06,1063.17,Debit Card,2023-08-24,2023-09-03,10,Delivered,,,
ORD00655,CUST0231,Vikram Agarwal,43,Female,Mumbai,2022-01-06,Fashion,Kurta,1,796.6,0.2,637.28,Wallet,2023-09-07,2023-09-11,4,Delivered,3.0,,
ORD01007,CUST0355,Ashish Sharma,18,Female,Hyderabad,2022-06-15,Books,Comic Book,4,218.29,0.16,733.45,  Credit Card  ,2023-04-24,2023-04-26,2,Pending,,,
ORD01048,CUST0370,Geeta Mishra,26,Male,Kolkata,2022-10-12,Electronics,Laptop,3,-500.0,0.13,150015.81,Cash on Delivery,2022-12-22,2023-01-03,12,Returned,,,
ORD00003,CUST0001,Raj Mishra,30,Male,Bangalore,2022-02-28,Electronics,Mobile,2,26279.38,0.29,37316.72,Debit Card,2023-05-23,2023-05-31,8,Returned,,,
ORD00830,CUST0292,Jyoti Verma,30,Female,Kolkata,2022-03-28,ELECTRONICS,Mobile,3,22188.58,0.0,66565.74,Net Banking,2023-08-28,2023-09-11,14,Cancled,,,
ORD00054,CUST0016,Ravi Nair,37,Male,Mumbai,2022-09-06,Grocery,Cooking Oil,3,193.87,0.08,535.08,Net Banking,2024-04-17,2024-04-18,1,Cancelled,,,
ORD00591,CUST0207,Kavita Verma,60,Female,Hyderabad,2022-10-17,Sports,Dumbbells,2,2197.74,0.27,3208.7,Net Banking,2024-01-01,2024-01-09,8,Returned,,Late Delivery,
ORD00775,CUST0271,Geeta Reddy,33,Male,Surat,2022-07-26,Toys,Puzzle,4,456.59,0.22,1424.56,Wallet,2023-11-29,2023-12-11,12,Delivered,1.0,,
ORD00254,CUST0089,Shweta Kulkarni,47,Male,Pune,2022-07-08,Toys,RC Car,3,1499.21,0.33,3013.41,Credit Card,2023-01-09,2023-01-11,2,Cancelled,,,
ORD00767,CUST0268,Anjali Reddy,40,Female,Hyderabad,2022-08-25,Grocery,Rice,2,86.36,0.27,126.09,UPI,2022-09-21,2022-09-23,2,Shipped,,,
ORD01004,CUST0353,Ashish Trivedi,23,Female,Nagpur,2022-02-18,Fashion,Kurta,4,786.84,0.28,2266.1,Cash on Delivery,2023-01-11,2023-01-18,7,Returned,,Not As Described,
ORD00026,CUST0008,Seema Mehta,65,Female,Delhi,2022-02-18,Beauty,Serum,2,829.32,0.08,-500.0,  Debit Card  ,2022-09-06,2022-09-19,13,Delivered,,,
ORD01109,CUST0392,Divya Malhotra,63,Male,Ahmedabad,2022-08-10,Electronics,Camera,3,35205.17,0.32,71818.55,Credit Card,2022-11-21,2022-11-26,5,Cancled,,,
ORD00255,CUST0090,Bhavna Trivedi,29,Male,Pune,2022-10-14,Sports,Football,4,585.56,0.15,1990.9,Cash on Delivery,2022-09-12,2022-09-15,3,Delivered,3.0,,
ORD00172,CUST0060,Anil Khan,50,Female,Surat,2022-10-18,Home & Kitchen,Mixer,3,3015.24,0.05,8593.43,Debit Card,2023-08-15,2023-08-28,13,Cancelled,,,
ORD00144,CUST0048,Seema Pandey,53,Male,Kolkata,2022-12-23,Books,Textbook,3,601.92,0.26,1336.26,Wallet,2022-06-20,2022-06-22,2,Delivered,1.0,,
ORD00145,CUST0049,Ravi Mehta,57,Female,Surat,2022-12-09,Sports,Cycle,3,7561.31,0.27,16559.27,Debit Card,2023-01-17,2023-01-19,2,Cancelled,,,
ORD00064,CUST0019,Sandeep Hegde,47,Male,Kolkata,2022-09-01,Toys,RC Car,4,1413.39,0.09,5144.74,Cash on Delivery,2023-07-10,2023-07-12,2,Pending,,,
ORD00467,CUST0162,Poornima Chauhan,27,Male,Ahmedabad,2022-07-14,Grocery,Tea,4,253.03,0.09,921.03,UPI,2023-05-15,2023-05-19,4,Cancelled,,,
ORD00263,CUST0092,Smita Reddy,18,Male,Hyderabad,2022-05-18,Books,Novel,3,353.99,0.13,923.91,Cash on Delivery,2024-02-13,2024-02-21,8,Returned,,Better Price Available,
ORD00215,CUST0074,Gaurav Singh,51,Male,Chennai,2022-11-23,Sports,Dumbbells,2,2195.35,0.22,3424.75,Debit Card,2022-10-29,2022-11-09,11,Delivered,3.0,,
ORD00308,CUST0111,Priya Bose,47,Female,Kolkata,2022-05-11,Books,Self-Help,4,446.31,0.23,1374.63,Debit Card,2024-05-09,2024-05-19,10,Delivered,2.0,,
ORD00334,CUST0119,Swati Trivedi,42,Male,Nagpur,2022-10-19,Fashion,Dress,4,1486.04,0.01,5884.72,Net Banking,2024-01-01,2024-01-13,12,Shipped,,,
ORD01023,CUST0359,Ravi Pandey,47,Female,Hyderabad,2022-04-10,BEAUTY,Sunscreen,3,385.57,0.34,763.43,UPI,2022-12-17,2022-12-23,6,Pending,,,
ORD00848,CUST0299,Pooja Iyer,37,male,Jaipur,2022-01-26,Fashion,Shoes,1,1781.32,0.15,1514.12,Cash on Delivery,2022-10-14,2022-10-16,2,Delivered,4.0,,
ORD00528,CUST0185,Pankaj Mishra,19,Female,Lucknow,2022-12-18,Grocery,Coffee,3,367.63,0.03,1069.8,Credit Card,2022-08-23,2022-08-30,7,Delivered,2.0,,
ORD00582,CUST0204,Priya Shah,29,Male,Pune,2022-10-15,Electronics,Smartwatch,2,7318.72,0.27,10685.33,Wallet,2022-08-18,2022-08-27,9,Delivered,2.0,,
ORD00339,CUST0121,Ritu Trivedi,53,Male,Lucknow,2022-04-23,Toys,Doll,2,512.93,0.01,1015.6,Credit Card,2022-10-26,2022-11-01,6,Delivered,1.0,,
ORD00865,CUST0307,Preeti Hegde,46,Female,Mumbai,2022-04-08,Toys,RC Car,2,1377.49,0.07,2562.13,Cash on Delivery,2024-04-10,2024-04-14,4,Delivered,,,
ORD00226,CUST0078,Tarun Rao,32,Female,Jaipur,2022-06-10,Home & Kitchen,Pressure Cooker,2,2232.15,0.03,4330.37,Net Banking,2023-06-11,2023-06-25,14,Delivered,2.0,,
ORD00402,CUST0142,Geeta Singh,63,Female,Mumbai,2022-09-29,Home & Kitchen,Pressure Cooker,2,1992.93,0.22,3108.97,UPI,2023-08-19,2023-09-01,13,Cancelled,,,
ORD00521,CUST0182,Ashish Agarwal,23,Female,Mumbai,2022-04-04,Books,Textbook,2,565.03,0.25,-500.0,Credit Card,2023-03-01,2023-03-09,8,Pending,,,
ORD00225,CUST0078,Tarun Rao,32,Female,Jaipur,2022-06-10,Toys,Doll,1,560.66,0.0,560.66,Credit Card,2023-07-30,2023-08-01,2,Cancelled,,,
ORD00527,CUST0185,Pankaj Mishra,19,Female,Lucknow,2022-12-18,HOME & KITCHEN,Pressure Cooker,1,1754.73,0.03,1702.09,UPI,2023-04-28,2023-04-30,2,Delivered,5.0,,
ORD00559,CUST0196,Neha Nair,52,Female,lucknow,2022-06-10,Toys,Lego Set,1,2306.46,0.3,1614.52,Debit Card,2022-11-26,2022-12-02,6,Cancelled,,,
ORD00838,CUST0295,Neha Kulkarni,57,Female,Chennai,2022-03-16,BEAUTY,Shampoo,3,264.79,0.08,730.82,  Wallet  ,2022-08-02,2022-08-11,9,Cancled,,,
ORD00258,CUST0091,Sunita Yadav,36,Male,Nagpur,2022-07-08,Grocery,Biscuits,3,43.33,0.34,85.79,Wallet,2023-05-02,2023-05-11,9,Returned,,Late Delivery,
ORD01054,CUST0372,Priya Khan,44,Male,Bangalore,2022-12-23,Books,Comic Book,0,192.58,0.29,410.2,Cash on Delivery,2022-12-17,2022-12-26,9,Shipped,,,
ORD00775,CUST0271,Geeta Reddy,33,Male,Surat,2022-07-26,TOYS,Puzzle,4,456.59,0.22,1424.56,Wallet,2023-11-29,2023-12-11,12,Delivered,1.0,,
ORD00457,CUST0159,Manoj Patel,21,Female,Pune,2022-07-15,Sports,Cycle,3,7369.34,0.16,18570.74,Debit Card,2023-08-03,2023-08-10,7,Shipped,,,
ORD00720,CUST0255,Deepak Sharma,18,Male,Pune,2022-06-14,Beauty,Shampoo,4,327.7,0.3,917.56,Debit Card,2022-12-08,2022-12-18,10,Delivered,,,
ORD00125,CUST0042,Pooja Patel,42,Male,Mumbai,2022-11-23,Electronics,Camera,2,32282.13,0.17,53588.34,UPI,2022-06-23,2022-06-29,6,Cancelled,,,
ORD00306,CUST0110,Kavya Hegde,51,Male,Nagpur,2022-08-21,Beauty,Shampoo,4,283.49,0.11,1009.22,Debit Card,2024-04-12,2024-04-14,2,Delivered,5.0,,
ORD01003,CUST0352,Sonal Pillai,41,Male,Mumbai,2022-12-17,Books,Textbook,4,576.76,0.35,1499.58,Net Banking,2023-09-30,2023-10-14,14,Delivered,2.0,,
ORD00448,CUST0156,Ajay Desai,45,Male,Chennai,2022-02-07,Books,Biography,4,500.34,0.32,1360.92,Wallet,2023-06-29,2023-06-30,1,Shipped,,,
ORD00421,CUST0147,Geeta Verma,18,Male,Chennai,2022-08-26,Grocery,Biscuits,1,47.14,0.05,44.78,  Net Banking  ,2024-05-08,2024-05-19,11,Delivered,2.0,,
ORD00787,CUST0275,Shweta Singh,24,Female,Lucknow,2022-10-05,Books,Textbook,1,555.03,0.08,510.63,Cash on Delivery,2022-11-08,2022-11-09,1,Returned,,Late Delivery,
ORD00877,CUST0310,Seema Gupta,21,Male,Hyderabad,2022-04-28,Toys,Action Figure,1,692.31,0.23,533.08,Net Banking,2022-07-03,2022-07-06,3,Delivered,5.0,,
ORD00301,CUST0109,Vijay Sharma,44,Female,Kolkata,2022-06-01,Books,Biography,3,419.05,0.16,1056.01,Debit Card,2024-04-26,2024-04-29,3,Delivered,,,
ORD00715,CUST0254,Rahul Desai,37,Female,Jaipur,2022-08-31,Books,Textbook,3,629.15,0.28,1358.96,Credit Card,2023-01-22,2023-01-28,6,Cancelled,,,
ORD00130,CUST0043,Raj Saxena,56,Female,Surat,2022-03-31,Beauty,Face Cream,3,439.94,0.18,1082.25,Cash on Delivery,2023-03-05,2023-03-14,9,Delivered,2.0,,
ORD00561,CUST0197,Anjali Shah,39,Male,Surat,2022-06-03,Fashion,Dress,2,1393.2,0.32,1894.75,Credit Card,2023-05-14,2023-05-16,2,Cancelled,,,
ORD00786,CUST0275,Shweta Singh,24,Female,Lucknow,2022-10-05,Books,Novel,4,313.04,0.07,1164.51,Cash on Delivery,2023-03-08,2023-03-17,9,Delivered,2.0,,
ORD00276,CUST0097,Suresh Verma,37,Male,Chennai,2022-06-08,Toys,Action Figure,3,908.33,0.34,1798.49,Cash on Delivery,2022-07-09,2022-07-15,6,Delivered,1.0,,
ORD00999,CUST0351,Pooja Sharma,26,Male,Nagpur,2022-08-22,Home & Kitchen,Water Bottle,1,373.12,0.26,276.11,Net Banking,2023-06-09,2023-06-13,4,Pending,,,
ORD00137,CUST0046,Divya Agarwal,54,Female,Chennai,2022-08-29,Grocery,Tea,3,260.79,0.04,751.08,Wallet,2023-12-28,2024-01-03,6,Cancelled,,,
ORD01039,CUST0367,Vikram Gupta,35,Female,Kolkata,2022-08-09,Electronics,Mobile,1,27159.77,0.31,18740.24,Credit Card,2023-05-05,2023-05-19,14,Returned,,,
ORD00882,CUST0312,Rekha Gupta,18,Female,Ahmedabad,2022-12-30,Toys,RC Car,4,1395.24,0.26,4129.91,Net Banking,2022-08-04,2022-08-07,3,Cancelled,,,
ORD00861,CUST0305,Sunita Mehta,57,,,2022-11-01,Grocery,Rice,3,86.68,0.27,189.83,,2023-02-24,2023-03-02,6,Cancelled,,,
ORD00087,CUST0028,Vikram Mehta,61,Male,Kolkata,2022-03-26,Fashion,T-Shirt,2,495.7,0.0,991.4,Cash on Delivery,2023-04-19,2023-04-22,3,Delivered,3.0,,
ORD01008,CUST0355,Ashish Sharma,18,Female,Hyderabad,2022-06-15,Fashion,Shoes,2,1744.1,0.2,2790.56,Debit Card,2023-07-09,2023-07-24,15,Shipped,,,
ORD00545,CUST0191,Gaurav Kulkarni,36,Female,Ahmedabad,2022-07-18,Grocery,Coffee,2,297.96,0.1,536.33,Net Banking,2023-04-05,2023-04-13,8,Delivered,5.0,,
ORD00066,CUST0020,Ravi Kulkarni,26,Male,Hyderabad,2022-04-18,Toys,Board Game,2,1378.5,0.22,2150.46,Credit Card,2023-02-20,2023-02-26,6,Cancelled,,,
ORD00915,CUST0322,Vivek Hegde,50,Female,Hyderabad,2022-09-14,Beauty,Perfume,2,1974.03,0.13,3434.81,Debit Card,2023-07-18,2023-07-27,9,Delivered,4.0,,
ORD00043,CUST0013,Rahul Patel,49,Male,Nagpur,2022-07-03,Grocery,Dal,1,153.5,0.11,136.62,UPI,2024-04-11,2024-04-18,7,Returned,,Wrong Item Delivered,
ORD00575,CUST0202,Mohit Sharma,29,Male,Delhi,2022-07-24,Books,Biography,2,430.85,0.16,723.83,Wallet,2023-12-29,2024-01-01,3,Delivered,1.0,,
ORD00031,CUST0009,Harish Khan,23,Male,Hyderabad,2022-08-16,Books,Cook Book,2,556.21,0.13,967.81,Credit Card,29/11/2023,2023-12-02,3,Returned,,Better Price Available,
ORD00004,CUST0002,Anil Rao,53,Male,Pune,2022-10-12,Toys,RC Car,1,1287.86,0.06,1210.59,Credit Card,2022-07-04,2022-07-12,8,Cancelled,,,
ORD00712,CUST0253,Jyoti Hegde,30,Male,Jaipur,2022-09-26,Grocery,Coffee,2,319.05,0.32,433.91,Cash on Delivery,2024-04-03,2024-04-11,8,Delivered,,,
ORD01036,CUST0365,Manoj Srivastava,34,Female,Ahmedabad,2022-08-06,Books,Cook Book,1,494.33,0.13,430.07,Credit Card,2022-08-24,2022-09-01,8,Delivered,3.0,,
ORD00995,CUST0351,Pooja Sharma,26,Male,Nagpur,2022-08-22,Beauty,Sunscreen,1,346.38,0.23,266.71,Net Banking,2022-10-11,2022-10-12,1,Cancelled,,,
ORD00936,CUST0330,Gaurav Hegde,51,Female,Bangalore,2022-06-01,Grocery,Cooking Oil,2,189.9,0.25,284.85,Wallet,2023-09-05,2023-09-19,14,Pending,,,
ORD00438,CUST0153,Arjun Joshi,38,Female,Mumbai,2022-08-06,Fashion,Saree,2,2807.33,0.07,5221.63,Credit Card,2024-03-11,2024-03-18,7,Returned,,,
ORD00588,CUST0206,Neha Kulkarni,30,Female,Chennai,2022-11-28,Beauty,Face Cream,3,516.85,0.32,1054.37,Debit Card,2023-02-18,2023-02-22,4,Cancelled,,,
ORD00435,CUST0152,Smita Pandey,31,Male,Pune,2022-06-28,Grocery,Biscuits,4,50.83,0.04,195.19,  UPI  ,2022-09-03,2022-09-09,6,Returnd,,Changed Mind,
ORD00168,CUST0058,Nitin Kulkarni,28,Female,Kolkata,2022-10-11,Toys,Action Figure,4,727.59,0.08,2677.53,Cash on Delivery,2023-01-26,2023-02-08,13,Delivered,1.0,,
ORD00270,CUST0095,Neha Chauhan,60,Male,Nagpur,2022-01-16,SPORTS,Badminton Racket,4,1555.39,0.12,5474.97,Wallet,2023-12-24,2024-01-06,13,Cancelled,,,
ORD00693,CUST0247,Kavya Dubey,37,Female,Pune,2022-04-17,Toys,Doll,4,665.82,0.29,1890.93,Debit Card,2024-03-23,2024-03-25,2,Delivered,,,
ORD00344,CUST0123,Sonal Desai,57,Female,Delhi,2022-01-22,Home & Kitchen,Air Fryer,4,4432.18,0.16,14892.12,Cash on Delivery,2023-01-08,2023-01-14,6,Cancelled,,,
ORD00023,CUST0007,Ajay Agarwal,46,Male,Delhi,2022-12-29,Grocery,Tea,3,222.82,0.06,628.35,UPI,2022-10-21,2022-10-28,7,Delivered,4.0,,
ORD00208,CUST0072,Harish Dubey,64,Male,Pune,2022-10-14,Sports,Yoga Mat,2,738.69,0.07,1373.96,Wallet,24/03/2024,2024-04-01,8,Delivered,3.0,,
ORD00755,CUST0265,Kavita Kapoor,24,Female,Mumbai,2022-11-04,Toys,Lego Set,2,2515.16,0.28,3621.83,Wallet,2022-08-09,2022-08-16,7,Delivered,2.0,,
ORD00921,CUST0325,Vinod Agarwal,61,Female,Pune,2022-06-26,Home & Kitchen,Air Fryer,2,4551.31,0.15,7737.23,Debit Card,2023-05-28,2023-06-04,7,Returned,,Defective Product,
ORD00354,CUST0126,Bhavna Pandey,50,Female,Nagpur,2022-07-25,Electronics,Speaker,2,4625.06,0.01,9157.62,Credit Card,2023-07-14,2023-07-15,1,Delivered,4.0,,
ORD00078,CUST0025,Anil Agarwal,35,Female,Ahmedabad,2022-04-07,Sports,Dumbbells,1,1789.86,0.17,1485.58,Credit Card,2023-02-15,2023-02-22,7,Delivered,5.0,,
ORD01063,CUST0374,Seema Saxena,65,Female,Nagpur,2022-12-26,Home & Kitchen,Curtain,3,833.81,0.13,2176.24,Net Banking,2022-11-25,2022-12-03,8,Delivered,3.0,,
ORD00562,CUST0197,Anjali Shah,39,Male,Surat,2022-06-03,Grocery,Biscuits,0,51.48,0.05,97.81,Cash on Delivery,2024-03-06,2024-03-11,5,Returned,,Defective Product,
ORD00549,CUST0192,Ravi Iyer,47,Female,Lucknow,2022-04-26,Sports,Football,2,558.09,0.22,870.62,Cash on Delivery,2023-09-17,2023-09-27,10,Cancelled,,,
ORD00802,CUST0281,Pooja Desai,27,Female,Hyderabad,2022-11-03,Books,Textbook,2,635.41,0.3,889.57,UPI,2022-09-01,2022-09-05,4,Cancelled,,,
ORD00663,CUST0234,Pooja Agarwal,53,Male,Delhi,2022-12-26,Sports,Cycle,1,7124.72,0.22,5557.28,Debit Card,2022-11-20,2022-12-04,14,Delivered,1.0,,
ORD00962,CUST0339,Ravi Patel,47,Male,Chennai,2022-01-31,Home & Kitchen,Mixer,4,3461.06,0.25,10383.18,Wallet,2022-11-28,2022-12-07,9,Delivered,,,
ORD00657,CUST0232,Anil Dubey,25,Female,Hyderabad,2022-07-10,Sports,Cycle,1,7861.69,0.28,5660.42,Net Banking,2023-05-12,2023-05-27,15,Delivered,1.0,,
ORD01120,CUST0394,Sonal Singh,50,,,2022-06-09,Fashion,Jeans,3,1213.28,0.11,3239.46,,2023-11-18,2023-11-19,1,Cancelled,,,
ORD00581,CUST0204,Priya Shah,29,Male,Pune,2022-10-15,Electronics,Camera,3,35745.02,0.08,98656.26,  Debit Card  ,29/03/2023,2023-04-12,14,Delivered,1.0,,
ORD00992,CUST0349,Harish Tiwari,57,Female,Nagpur,2022-10-10,Beauty,Sunscreen,4,313.51,0.17,1040.85,Debit Card,2022-11-13,2022-11-21,8,Delivered,1.0,,
ORD00495,CUST0174,Kiran Yadav,47,Female,Kolkata,2022-06-19,Fashion,Saree,1,2515.2,0.17,2087.62,Cash on Delivery,2023-01-15,2023-01-24,9,Cancelled,,,
ORD00547,CUST0191,Gaurav Kulkarni,36,Female,Ahmedabad,2022-07-18,Books,Self-Help,1,441.86,0.0,441.86,Debit Card,2023-03-09,2023-03-19,10,Cancelled,,,
ORD01071,CUST0377,Pooja Sharma,18,Male,ahmedabad,2022-03-22,Grocery,Dal,1,157.32,0.11,140.01,Net Banking,2024-05-30,2024-06-03,4,Pending,,,
ORD00876,CUST0310,Seema Gupta,21,Male,Hyderabad,2022-04-28,Sports,Dumbbells,1,2131.63,0.09,1939.78,Cash on Delivery,2023-07-07,2023-07-08,1,Returned,,Better Price Available,
ORD00853,CUST0302,Anjali Pandey,27,Male,Jaipur,2022-02-13,Beauty,Face Cream,4,433.75,0.21,1370.65,UPI,2023-06-23,2023-07-06,13,Delivered,5.0,,
ORD01049,CUST0370,Geeta Mishra,26,Male,Kolkata,2022-10-12,Home & Kitchen,Bedsheet,3,1175.56,0.34,2327.61,Net Banking,2023-04-15,2023-04-28,13,Cancled,,,
ORD00912,CUST0321,Kavita Rao,65,Female,Pune,2022-11-28,Fashion,Dress,4,1290.83,0.31,3562.69,Net Banking,2023-05-23,2023-05-28,5,Delivered,3.0,,
ORD00873,CUST0309,Rohan Khan,35,Male,bangalore,2022-08-06,Home & Kitchen,Water Bottle,3,428.16,0.06,1207.41,  Net Banking  ,2024-04-15,2024-04-22,7,Cancelled,,,
ORD00709,CUST0252,Vikram Bose,34,Female,Kolkata,2022-10-31,Sports,Badminton Racket,4,1521.95,0.14,5235.51,Wallet,2023-05-15,2023-05-17,2,Deliverd,4.0,,
ORD00019,CUST0006,Divya Gupta,30,Male,Delhi,2022-04-13,Home & Kitchen,Curtain,1,824.41,0.22,643.04,Net Banking,2022-10-18,2022-11-02,15,Delivered,5.0,,
ORD00513,CUST0180,Divya Dubey,24,Female,Mumbai,2022-05-02,Grocery,Cooking Oil,3,209.78,0.33,421.66,Net Banking,2023-04-16,2023-04-25,9,Cancelled,,,
ORD00155,CUST0053,Vivek Iyer,37,Female,Bangalore,2022-12-23,Sports,Dumbbells,1,1747.82,0.3,1223.47,UPI,2023-01-17,2023-01-19,2,Delivered,4.0,,
ORD00141,CUST0047,Kiran Mehta,49,Female,Lucknow,2022-07-17,Home & Kitchen,Curtain,4,724.48,0.31,1999.56,Cash on Delivery,2024-04-20,2024-04-29,9,Delivered,3.0,,
ORD00875,CUST0310,Seema Gupta,21,Male,Hyderabad,2022-04-28,Sports,Yoga Mat,2,821.35,0.34,1084.18,Credit Card,2024-05-23,2024-05-28,5,Returned,,Size Not Fit,
ORD00387,CUST0138,Sneha Hegde,60,Female,Ahmedabad,2022-09-22,Grocery,Coffee,1,377.98,0.27,275.93,Net Banking,2023-11-08,2023-11-19,11,Delivered,,,
ORD00725,CUST0256,Preeti Reddy,31,Male,Delhi,2022-09-07,Sports,Yoga Mat,1,876.83,0.28,631.32,Debit Card,2023-12-29,2024-01-02,4,Returned,,Changed Mind,
ORD00811,CUST0284,Rohan Saxena,33,male,Chennai,2022-03-03,GROCERY,Cooking Oil,2,217.73,0.34,287.4,Cash on Delivery,2022-09-25,2022-10-09,14,Delivered,2.0,,
ORD00783,CUST0274,Harish Nair,47,Female,chennai,2022-10-30,Grocery,Dal,3,146.97,0.0,440.91,Net Banking,2022-11-01,2022-11-14,13,Cancelled,,,
